"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2011-04-12,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-04-18,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-04-18,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-04-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-04-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-04-21,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-04-25,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-04-25,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-04-26,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-04-26,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-05-02,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-05-02,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-05-03,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-05-09,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-05-09,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-05-10,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-05-11,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-05-12,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-05-16,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-05-16,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-05-17,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-05-23,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-05-23,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-05-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-05-24,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-05-31,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-06-01,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-06-01,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-06-02,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-06-06,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-06-06,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-06-07,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2011-06-07,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-06-13,38.04278,-121.9201,"water","SE Suisun",0,0,NA,NA,NA
2011-06-13,38.36771,-121.5205,"water","Sacramento River",0,0,NA,NA,NA
2011-06-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-06-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-07-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-07-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-08-02,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-08-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-08-10,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-08-23,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-09-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-09-08,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-09-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-10-25,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-10-26,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-11-22,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-12-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-12-08,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2011-12-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2011-12-29,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-01-04,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-01-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-01-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-01-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-01-21,37.99151,-121.7083,"water","South Delta",0.018,0.01,NA,0.006,0.012
2012-02-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-02-09,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-02-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-02-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-03-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-03-15,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-03-17,37.99151,-121.7083,"water","South Delta",0,0,NA,0,0
2012-03-27,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-03-27,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-03-27,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-03-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-04-03,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-04-03,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-04-03,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-04-03,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-04-10,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-04-10,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-04-10,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-04-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-04-17,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-04-17,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-04-17,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-04-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-04-24,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-04-24,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-04-24,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-05-01,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-05-01,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-05-01,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-05-08,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-05-08,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-05-08,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-05-15,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-05-15,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-05-15,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-05-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2012-05-16,37.67611,-121.2664,"water","South Delta",NA,0,NA,NA,NA
2012-05-17,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2012-05-17,38.45611,-121.5014,"water","Sacramento River",0,NA,NA,NA,NA
2012-05-22,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-05-22,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
2012-05-22,38.11708,-122.0397,"water","NW Suisun",0,0,NA,NA,NA
2012-05-29,38.02161,-121.8063,"water","Confluence",0,0,NA,NA,NA
2012-05-29,38.06242,-121.8205,"water","Confluence",0,0,NA,NA,NA
