"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2012-02-09,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-02-23,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-02-29,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2012-03-15,38.234798,-121.681282,"water","North Delta",0,0,0
2012-03-15,38.24633,-121.7080994,"water","North Delta",0,0,0
2012-03-15,38.25528,-121.6669998,"water","North Delta",0,0,0
2012-03-15,38.27375,-121.6773605,"water","North Delta",0,0,0
2012-03-15,38.277748,-121.7101593,"water","North Delta",0,0,0
2012-03-15,38.293228,-121.7408676,"water","North Delta",0,0,0
2012-03-15,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-03-17,37.99151,-121.7083,"water","Confluence",0,0,0.0253
2012-03-27,38.02161,-121.8063,"water","Confluence",0,0,0
2012-03-27,38.06242,-121.82051,"water","Confluence",0,0,0
2012-03-27,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-04-03,38.02161,-121.8063,"water","Confluence",0,0,0
2012-04-03,38.06242,-121.82051,"water","Confluence",0,0,0
2012-04-03,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-04-10,38.02161,-121.8063,"water","Confluence",0,0,0
2012-04-10,38.06242,-121.82051,"water","Confluence",0,0,0
2012-04-10,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-04-17,38.02161,-121.8063,"water","Confluence",0,0,0
2012-04-17,38.06242,-121.82051,"water","Confluence",0,0,0
2012-04-17,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-04-18,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2012-04-24,38.02161,-121.8063,"water","Confluence",0,0,0
2012-04-24,38.06242,-121.82051,"water","Confluence",0,0,0
2012-04-24,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-01,38.02161,-121.8063,"water","Confluence",0,0,0
2012-05-01,38.06242,-121.82051,"water","Confluence",0,0,0
2012-05-01,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-01,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2012-05-08,38.02161,-121.8063,"water","Confluence",0,0,0
2012-05-08,38.06242,-121.82051,"water","Confluence",0,0,0
2012-05-08,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-15,38.02161,-121.8063,"water","Confluence",0,0,0
2012-05-15,38.06242,-121.82051,"water","Confluence",0,0,0
2012-05-15,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-17,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-05-22,38.02161,-121.8063,"water","Confluence",0,0,0
2012-05-22,38.06242,-121.82051,"water","Confluence",0,0,0
2012-05-22,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-29,38.02161,-121.8063,"water","Confluence",0,0,0
2012-05-29,38.06242,-121.82051,"water","Confluence",0,0,0
2012-05-29,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2012-05-30,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-06-12,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-06-20,38.45602,-121.50134,"water","Sacramento River",0,0,0
2012-07-09,38.45602,-121.50134,"water","Sacramento River",0,0,0
