"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1993-07-21,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-25,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-26,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-07-27,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-07-28,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-08-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-04,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-08-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-08-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-08-30,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-09-01,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-09-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-09,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-09-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-22,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-26,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-09-27,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-09-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-10-06,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-10-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-10-11,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-10-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-10-15,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-10-18,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-10-19,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-10-25,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-11-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-11-10,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-11-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-11-12,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-11-15,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-11-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
