"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Central Delta","Summer",14,"turbidity","NTU"
"North Delta","Summer",45,"turbidity","NTU"
"South Delta","Summer",5.7,"turbidity","NTU"
"North Delta","Summer",75,"turbidity","NTU"
"North Delta","Summer",1.8,"turbidity","NTU"
"Central Delta","Summer",18,"turbidity","NTU"
"Sacramento River","Summer",32,"turbidity","NTU"
"Central Delta","Summer",27,"turbidity","NTU"
"South Delta","Summer",14,"turbidity","NTU"
"Sacramento River","Summer",8.57,"turbidity","NTU"
"Central Delta","Summer",4.16,"turbidity","NTU"
"North Delta","Summer",38,"turbidity","NTU"
"Central Delta","Summer",380,"turbidity","NTU"
"South Delta","Summer",2.3,"turbidity","NTU"
"North Delta","Summer",2,"turbidity","NTU"
"Central Delta","Summer",26,"turbidity","NTU"
"Sacramento River","Summer",9.7,"turbidity","NTU"
"Sacramento River","Fall",30,"turbidity","NTU"
"North Delta","Fall",2.9,"turbidity","NTU"
"Central Delta","Fall",55,"turbidity","NTU"
"Central Delta","Fall",9.4,"turbidity","NTU"
"South Delta","Fall",9.8,"turbidity","NTU"
"South Delta","Fall",8.7,"turbidity","NTU"
"Central Delta","Fall",15,"turbidity","NTU"
"Sacramento River","Fall",27,"turbidity","NTU"
"Central Delta","Fall",14,"turbidity","NTU"
"Sacramento River","Fall",2,"turbidity","NTU"
"Central Delta","Fall",2.23,"turbidity","NTU"
"Sacramento River","Fall",3.44,"turbidity","NTU"
"Central Delta","Fall",35,"turbidity","NTU"
"Central Delta","Fall",3.7,"turbidity","NTU"
"South Delta","Fall",0.7,"turbidity","NTU"
"Sacramento River","Fall",11,"turbidity","NTU"
"North Delta","Fall",17,"turbidity","NTU"
"North Delta","Fall",7.9,"turbidity","NTU"
"Central Delta","Winter",110,"turbidity","NTU"
"South Delta","Winter",11,"turbidity","NTU"
"Central Delta","Winter",70,"turbidity","NTU"
"North Delta","Winter",35,"turbidity","NTU"
"Sacramento River","Winter",45,"turbidity","NTU"
"North Delta","Winter",7.4,"turbidity","NTU"
"Sacramento River","Winter",32,"turbidity","NTU"
"South Delta","Winter",3.6,"turbidity","NTU"
"Central Delta","Winter",15,"turbidity","NTU"
